QUERY_ID,QUERY_TEXT,DATABASE_ID,DATABASE_NAME,SCHEMA_ID,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_ID,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,PERCENTAGE_SCANNED_FROM_CACHE,BYTES_WRITTEN,BYTES_WRITTEN_TO_RESULT,BYTES_READ_FROM_RESULT,ROWS_PRODUCED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,ROWS_UNLOADED,BYTES_DELETED,PARTITIONS_SCANNED,PARTITIONS_TOTAL,BYTES_SPILLED_TO_LOCAL_STORAGE,BYTES_SPILLED_TO_REMOTE_STORAGE,BYTES_SENT_OVER_THE_NETWORK,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,LIST_EXTERNAL_FILES_TIME,CREDITS_USED_CLOUD_SERVICES,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,QUERY_LOAD_PERCENT,IS_CLIENT_GENERATED_STATEMENT,QUERY_ACCELERATION_BYTES_SCANNED,QUERY_ACCELERATION_PARTITIONS_SCANNED,QUERY_ACCELERATION_UPPER_LIMIT_SCALE_FACTOR,TRANSACTION_ID,CHILD_QUERIES_WAIT_TIME,ROLE_TYPE,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION
01b1e7f9-0001-9dfc-0005-177a00028132,"describe VIEW IDENTIFIER('""WEATHER"".""PUBLIC"".""JSON_WEATHER_DATA_VIEW""')",19,WEATHER,6,PUBLIC,DESCRIBE,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:13:42.229-08:00,2024-01-25T05:13:42.297-08:00,68,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,56,12,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,4d4efd61b00b94cd56ecb0f592ed90cd,2,4d4efd61b00b94cd56ecb0f592ed90cd,1
01b1e7f9-0001-9d31-0005-177a000256c6,show WAREHOUSES,19,WEATHER,6,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:13:39.014-08:00,2024-01-25T05:13:39.085-08:00,71,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,48,23,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,9ddc24dcc7b36224eabdf604aa2472b1,2,9ddc24dcc7b36224eabdf604aa2472b1,1
01b1e7fb-0001-9d98-0005-177a00022642,show terse DATABASES limit 1001,19,WEATHER,6,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:15:32.18-08:00,2024-01-25T05:15:32.306-08:00,126,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,90,36,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,7cc3d4194b112d3625b034f5a9fe198d,2,7cc3d4194b112d3625b034f5a9fe198d,1
01b1e791-0001-9d31-0005-177a000254e2,show DATABASES like 'CITIBIKE',13,CITIBIKE,4,PUBLIC,SHOW,1433187637157934,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T03:29:46.012-08:00,2024-01-25T03:29:46.068-08:00,56,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,2ebedeb2b8bbc5fb9f65e17c3f55ad4b,2,2ebedeb2b8bbc5fb9f65e17c3f55ad4b,1
01b1e7fc-0001-9d95-0005-177a00026666,show WAREHOUSES like 'COMPUTE_WH',19,WEATHER,6,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:16:11.514-08:00,2024-01-25T05:16:11.582-08:00,68,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,48,20,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,dc6b49c7892670ac114d7ea882544de7,2,dc6b49c7892670ac114d7ea882544de7,1
01b1e79f-0001-9d98-0005-177a000224aa,show terse ROLES,13,CITIBIKE,4,PUBLIC,SHOW,1433187637157934,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T03:43:21.087-08:00,2024-01-25T03:43:21.145-08:00,58,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,50,8,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,a1eff756552c33149855db4a6b0d8780,2,a1eff756552c33149855db4a6b0d8780,1
01b1e7ac-0001-9d84-0005-177a000234a6,show terse DATABASES limit 1001,13,CITIBIKE,4,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T03:56:00.024-08:00,2024-01-25T03:56:00.093-08:00,69,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,57,12,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,7cc3d4194b112d3625b034f5a9fe198d,2,7cc3d4194b112d3625b034f5a9fe198d,1
01b1e79f-0001-9d84-0005-177a0002345e,show DATABASES like 'CITIBIKE',13,CITIBIKE,4,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T03:43:15.508-08:00,2024-01-25T03:43:15.574-08:00,66,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,50,16,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,2ebedeb2b8bbc5fb9f65e17c3f55ad4b,2,2ebedeb2b8bbc5fb9f65e17c3f55ad4b,1
01b1e7a0-0001-9d95-0005-177a00026532,"show terse VIEWS in SCHEMA IDENTIFIER('""CITIBIKE"".""PUBLIC""') limit 1001",13,CITIBIKE,4,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T03:44:47.19-08:00,2024-01-25T03:44:47.222-08:00,32,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,81363d9ab54a7b438bac6f3c79d1a38d,2,81363d9ab54a7b438bac6f3c79d1a38d,1
01b1e7d6-0001-9d95-0005-177a000265c6,"show terse USER PROCEDURES in SCHEMA IDENTIFIER('""CITIBIKE"".""PUBLIC""')",16,CITIBIKE,5,PUBLIC,SHOW,1433187637145686,SUSHMAMENGANI,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T04:38:12.369-08:00,2024-01-25T04:38:12.4-08:00,31,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,4a9670498e88dab91f270fbcbb0fc94a,2,4a9670498e88dab91f270fbcbb0fc94a,1
